epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,16109.1,1.66995,0.95148,0.00481,0.76932,0.81906,0.82252,0.39743,1.74101,0.73491,0.0131,0.00190987,0.000636625,0.00190987,0.000636625,0.00190987,0.000636625,0.00190987,0.000636625
60,16224.8,1.68312,0.95057,0.00456,0.82135,0.75575,0.79867,0.41035,1.71711,0.73804,0.01261,0.00183486,0.000611621,0.00183486,0.000611621,0.00183486,0.000611621,0.00183486,0.000611621
61,16341.1,1.67365,0.98113,0.00476,0.81428,0.75,0.80235,0.39728,1.70944,0.75186,0.01205,0.00176053,0.000586845,0.00176053,0.000586845,0.00176053,0.000586845,0.00176053,0.000586845
62,16457.5,1.65691,0.96449,0.0046,0.77158,0.77357,0.80499,0.41019,1.69139,0.73531,0.01212,0.00168696,0.00056232,0.00168696,0.00056232,0.00168696,0.00056232,0.00168696,0.00056232
63,16573.3,1.65913,0.93379,0.0047,0.819,0.73192,0.79545,0.40715,1.69361,0.74083,0.01229,0.00161421,0.000538072,0.00161421,0.000538072,0.00161421,0.000538072,0.00161421,0.000538072
64,16689.4,1.66072,0.95561,0.00452,0.87269,0.71944,0.81825,0.41657,1.69219,0.77192,0.01139,0.00154237,0.000514122,0.00154237,0.000514122,0.00154237,0.000514122,0.00154237,0.000514122
65,16805.2,1.65702,0.92082,0.0046,0.80749,0.74395,0.79516,0.41812,1.67955,0.75463,0.01146,0.00147149,0.000490497,0.00147149,0.000490497,0.00147149,0.000490497,0.00147149,0.000490497
66,16920.8,1.64948,0.91873,0.00464,0.82173,0.74285,0.81436,0.40829,1.70571,0.74847,0.01209,0.00140165,0.000467218,0.00140165,0.000467218,0.00140165,0.000467218,0.00140165,0.000467218
67,17036.4,1.65799,0.95156,0.00456,0.81307,0.76128,0.80698,0.40487,1.68184,0.77398,0.01151,0.00133293,0.000444309,0.00133293,0.000444309,0.00133293,0.000444309,0.00133293,0.000444309
68,17151.8,1.65076,0.92735,0.0045,0.79842,0.7413,0.79625,0.40199,1.70201,0.76376,0.01204,0.00126538,0.000421792,0.00126538,0.000421792,0.00126538,0.000421792,0.00126538,0.000421792
69,17268,1.63347,0.91803,0.00454,0.79696,0.7297,0.79374,0.40204,1.70434,0.74465,0.01209,0.00119907,0.000399689,0.00119907,0.000399689,0.00119907,0.000399689,0.00119907,0.000399689
70,17383.6,1.63377,0.91968,0.00448,0.78205,0.78596,0.82553,0.41831,1.69996,0.73285,0.01229,0.00113407,0.000378023,0.00113407,0.000378023,0.00113407,0.000378023,0.00113407,0.000378023
71,17499.8,1.64345,0.90964,0.00459,0.8401,0.76265,0.8267,0.41511,1.69606,0.73841,0.01193,0.00107045,0.000356815,0.00107045,0.000356815,0.00107045,0.000356815,0.00107045,0.000356815
72,17616.4,1.62889,0.89547,0.00452,0.7877,0.74311,0.78822,0.40845,1.6943,0.75798,0.01204,0.00100826,0.000336086,0.00100826,0.000336086,0.00100826,0.000336086,0.00100826,0.000336086
73,17732.6,1.62849,0.91867,0.00428,0.82853,0.73108,0.78351,0.40319,1.70226,0.74272,0.0123,0.000947565,0.000315855,0.000947565,0.000315855,0.000947565,0.000315855,0.000947565,0.000315855
74,17848.4,1.626,0.90036,0.00447,0.78532,0.77041,0.81337,0.41299,1.6969,0.74993,0.01206,0.000888431,0.000296144,0.000888431,0.000296144,0.000888431,0.000296144,0.000888431,0.000296144
75,17964.2,1.63558,0.91143,0.00442,0.84406,0.73373,0.80959,0.40954,1.68497,0.7694,0.01148,0.000830912,0.000276971,0.000830912,0.000276971,0.000830912,0.000276971,0.000830912,0.000276971
76,18080.3,1.63654,0.89389,0.00433,0.84418,0.74414,0.82509,0.42049,1.67734,0.75992,0.01133,0.000775066,0.000258355,0.000775066,0.000258355,0.000775066,0.000258355,0.000775066,0.000258355
77,18197,1.62217,0.89102,0.00451,0.80966,0.75485,0.80795,0.40422,1.69254,0.75712,0.0118,0.000720947,0.000240316,0.000720947,0.000240316,0.000720947,0.000240316,0.000720947,0.000240316
78,18312.3,1.61842,0.8913,0.00445,0.85526,0.7216,0.80879,0.41491,1.69902,0.76751,0.01205,0.000668609,0.00022287,0.000668609,0.00022287,0.000668609,0.00022287,0.000668609,0.00022287
79,18427.8,1.61576,0.89951,0.00441,0.84229,0.76468,0.82816,0.41866,1.68942,0.7451,0.01179,0.000618103,0.000206034,0.000618103,0.000206034,0.000618103,0.000206034,0.000618103,0.000206034
80,18544.1,1.62853,0.89567,0.00433,0.81152,0.75965,0.8147,0.41164,1.6781,0.77898,0.01138,0.00056948,0.000189827,0.00056948,0.000189827,0.00056948,0.000189827,0.00056948,0.000189827
81,18669.8,1.61574,0.88084,0.00423,0.82846,0.77756,0.81424,0.41667,1.68439,0.73717,0.01151,0.000522787,0.000174262,0.000522787,0.000174262,0.000522787,0.000174262,0.000522787,0.000174262
82,18785.7,1.617,0.88107,0.00414,0.80486,0.78485,0.82223,0.42406,1.68312,0.71793,0.01156,0.000478071,0.000159357,0.000478071,0.000159357,0.000478071,0.000159357,0.000478071,0.000159357
83,18902.1,1.61516,0.89622,0.00437,0.85115,0.76484,0.82736,0.42492,1.67651,0.74132,0.01138,0.000435375,0.000145125,0.000435375,0.000145125,0.000435375,0.000145125,0.000435375,0.000145125
